,hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy
0,969,73,56,amsterdam,44,dutch,0,111612,Accar Hotels,Ibas,1,0,0
23,909,58,56,madrid,44,dutch,0,111612,Yin Yang,8 Premium,1,0,0
113,789,57,56,madrid,44,dutch,0,111612,Accar Hotels,Ibas,1,0,0
115,915,57,56,madrid,44,dutch,0,111612,Accar Hotels,Ibas,1,0,0
20,987,69,56,rome,44,dutch,0,111612,Accar Hotels,Ibas,1,0,0
107,934,68,56,rome,44,dutch,0,111612,Accar Hotels,Ibas,1,0,0
70,969,77,56,amsterdam,44,danish,0,111612,Accar Hotels,Ibas,1,0,0
1,789,61,56,madrid,44,danish,0,111612,Accar Hotels,Ibas,1,0,0
55,915,61,56,madrid,44,danish,0,111612,Accar Hotels,Ibas,1,0,0
81,909,62,56,madrid,44,danish,0,111612,Yin Yang,8 Premium,1,0,0
108,941,63,56,madrid,44,danish,0,111612,Independant,Independant,1,0,0
125,992,77,56,paris,44,danish,0,111612,Accar Hotels,Ibas,0,0,0
35,856,67,55,rome,44,danish,0,111612,Accar Hotels,Ibas,1,0,0
56,987,72,56,rome,44,danish,0,111612,Accar Hotels,Ibas,1,0,0
87,934,70,56,rome,44,danish,0,111612,Accar Hotels,Ibas,1,0,0
34,969,77,56,amsterdam,44,spanish,0,111612,Accar Hotels,Ibas,1,0,0
18,915,58,56,madrid,44,spanish,0,111612,Accar Hotels,Ibas,1,0,0
50,789,58,56,madrid,44,spanish,0,111612,Accar Hotels,Ibas,1,0,0
56,909,59,56,madrid,44,spanish,0,111612,Yin Yang,8 Premium,1,0,0
57,987,71,56,rome,44,spanish,0,111612,Accar Hotels,Ibas,1,0,0
94,969,77,56,amsterdam,44,french,0,111612,Accar Hotels,Ibas,1,0,0
87,789,60,56,madrid,44,french,0,111612,Accar Hotels,Ibas,1,0,0
91,909,61,56,madrid,44,french,0,111612,Yin Yang,8 Premium,1,0,0
111,915,60,56,madrid,44,french,0,111612,Accar Hotels,Ibas,1,0,0
127,987,72,56,rome,44,french,0,111612,Accar Hotels,Ibas,1,0,0
22,969,79,56,amsterdam,44,italian,0,111612,Accar Hotels,Ibas,1,0,0
36,909,61,56,madrid,44,italian,0,111612,Yin Yang,8 Premium,1,0,0
88,915,60,56,madrid,44,italian,0,111612,Accar Hotels,Ibas,1,0,0
93,789,60,56,madrid,44,italian,0,111612,Accar Hotels,Ibas,1,0,0
7,987,71,56,rome,44,italian,0,111612,Accar Hotels,Ibas,1,0,0
90,969,77,56,amsterdam,44,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
44,789,60,56,madrid,44,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
46,915,60,56,madrid,44,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
77,941,62,56,madrid,44,bulgarian,0,111612,Independant,Independant,1,0,0
109,909,61,56,madrid,44,bulgarian,0,111612,Yin Yang,8 Premium,1,0,0
99,992,76,56,paris,44,bulgarian,0,111612,Accar Hotels,Ibas,0,0,0
5,856,65,55,rome,44,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
81,934,68,56,rome,44,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
96,987,69,56,rome,44,bulgarian,0,111612,Accar Hotels,Ibas,1,0,0
4,969,80,56,amsterdam,44,maltese,0,111612,Accar Hotels,Ibas,1,0,0
5,909,62,56,madrid,44,maltese,0,111612,Yin Yang,8 Premium,1,0,0
21,915,61,56,madrid,44,maltese,0,111612,Accar Hotels,Ibas,1,0,0
37,789,61,56,madrid,44,maltese,0,111612,Accar Hotels,Ibas,1,0,0
6,987,71,56,rome,44,maltese,0,111612,Accar Hotels,Ibas,1,0,0
